16	110.1,0.0,0.0,0.0,98.13,90.44,95.09,97.66,97.83,99.09,98.23,97.86,94.83,96.66,97.65,96.4,97.71,99.0,100.14,100.09,102.69,82.85,97.96,118.12	877.0,800.0,704.0,667.0,495.0,1144.0,1665.0,1749.0,1773.0,2323.0,2339.0,2158.0,2054.0,2326.0,2278.0,2265.0,2296.0,2470.0,2470.0,2684.0,2340.0,1902.0,1728.0,1176.0
15	0.0,0.0,99.49,98.6,103.26,90.24,97.46,94.64,94.43,92.92,90.48,92.66,91.17,90.49,92.16,90.3,93.46,97.48,98.46,92.08,80.04,83.61,0.0,114.0	519.0,419.0,368.0,307.0,332.0,831.0,1294.0,1722.0,1677.0,1955.0,2001.0,2035.0,2071.0,2269.0,2080.0,1975.0,2031.0,2232.0,2243.0,1905.0,1546.0,1222.0,1089.0,726.0
14	0.0,0.0,0.0,0.0,104.63,96.33,97.98,98.21,98.11,94.57,90.53,97.09,97.65,98.07,96.13,93.44,92.25,97.29,102.58,101.28,92.81,84.95,0.0,107.04	949.0,875.0,768.0,699.0,702.0,1008.0,1442.0,1225.0,1087.0,1052.0,1076.0,1294.0,1358.0,1166.0,1226.0,1259.0,1339.0,1535.0,1676.0,3216.0,2508.0,2098.0,1840.0,1314.0
12	109.36,0.0,68.32,69.83,90.05,88.92,93.98,98.04,97.52,98.07,95.89,94.78,93.86,93.25,94.46,94.89,91.79,96.74,95.85,99.03,95.4,108.43,85.99,87.53	616.0,605.0,525.0,499.0,432.0,867.0,1284.0,1697.0,1582.0,1732.0,1544.0,1543.0,1567.0,1436.0,1359.0,1331.0,1097.0,1170.0,1661.0,1873.0,1469.0,1278.0,1084.0,811.0
10	0.0,0.0,0.0,79.44,90.63,93.04,95.08,97.75,99.34,98.51,99.22,92.82,90.92,92.27,95.17,95.5,95.95,100.56,96.86,101.79,87.55,85.94,85.36,86.51	1056.0,946.0,818.0,748.0,846.0,1433.0,1887.0,1526.0,1338.0,1323.0,1295.0,1635.0,1744.0,1448.0,1461.0,1550.0,1540.0,1577.0,1895.0,3453.0,2850.0,2379.0,1946.0,1419.0
9	75.77,62.16,83.75,86.48,86.19,82.6,87.6,91.3,93.25,91.26,90.99,88.75,88.42,89.5,89.14,88.52,89.91,93.44,92.36,92.34,78.62,85.12,78.23,88.08	1267.0,1122.0,920.0,866.0,640.0,1409.0,2057.0,2370.0,2418.0,3018.0,3104.0,3201.0,3005.0,3135.0,3232.0,3341.0,3474.0,3598.0,3897.0,4354.0,3883.0,3088.0,2498.0,1732.0
8	81.23,82.09,79.11,78.95,80.59,81.84,84.77,89.74,93.5,91.46,92.92,92.0,91.67,93.76,92.48,92.05,91.09,94.38,95.38,92.99,93.06,90.33,90.36,86.02	738.0,696.0,649.0,558.0,599.0,871.0,1210.0,1578.0,1794.0,2109.0,2250.0,2091.0,2100.0,2479.0,2624.0,2816.0,2881.0,2561.0,2151.0,1940.0,1747.0,1423.0,1178.0,945.0
7	64.94,67.87,71.02,69.9,65.73,72.43,70.77,71.43,69.26,70.55,70.21,68.66,70.23,70.58,70.18,68.5,71.85,71.97,69.99,0.0,74.7,64.38,68.44,65.2	583.0,517.0,489.0,467.0,523.0,688.0,1024.0,1234.0,1463.0,1526.0,1558.0,1630.0,1680.0,1674.0,1703.0,1868.0,1863.0,1804.0,1731.0,1581.0,1545.0,1264.0,928.0,689.0
10	0.0,0.0,0.0,0.0,90.63,93.5,98.6,98.59,98.87,99.41,98.29,93.36,93.52,92.4,95.15,96.73,98.02,99.6,101.37,100.26,79.79,80.24,78.18,85.69	1134.0,950.0,874.0,792.0,830.0,1309.0,1985.0,1569.0,1461.0,1453.0,1376.0,1708.0,1742.0,1575.0,1499.0,1586.0,1656.0,1783.0,2568.0,2860.0,2754.0,2224.0,1834.0,1310.0
4	72.03,0.0,0.0,77.87,74.09,79.78,90.96,92.87,92.8,93.28,92.52,92.71,92.65,91.55,90.77,91.58,88.96,92.92,89.11,77.51,74.4,70.51,85.11,81.21	852.0,767.0,754.0,763.0,809.0,1152.0,1548.0,1684.0,1342.0,1140.0,1129.0,1514.0,1567.0,1293.0,1315.0,1466.0,1498.0,1499.0,1642.0,1940.0,1846.0,1522.0,1196.0,909.0
2	87.69,86.83,82.03,81.61,85.22,88.05,91.92,92.37,92.47,90.77,91.37,93.1,91.8,91.2,91.44,88.59,89.23,91.66,92.4,91.29,91.11,92.61,92.62,89.72	689.0,599.0,534.0,553.0,581.0,971.0,1075.0,1126.0,1183.0,1217.0,2207.0,2067.0,2291.0,2628.0,2717.0,2948.0,2928.0,2744.0,2480.0,2071.0,2057.0,1650.0,1157.0,847.0
